flight_num,depart_time,flight_length,airline,airport_from,day,delayed
1007,1015,320,AA,MIA,6,0
1123,435,165,AA,DFW,1,0
501,595,160,AA,DFW,2,0
593,965,235,AA,ORD,6,0
2435,815,235,AA,ORD,5,0
1805,1235,155,AA,DFW,4,0
2455,450,240,AA,ORD,2,0
1123,435,165,AA,DFW,3,0
2435,815,235,AA,ORD,6,0
1695,495,155,AA,DFW,7,0
1695,495,155,AA,DFW,4,0
1355,705,155,AA,DFW,3,0
2435,815,235,AA,ORD,2,0
1355,705,155,AA,DFW,1,0
1355,705,155,AA,DFW,3,0
1695,495,155,AA,DFW,4,0
1733,1190,235,AA,ORD,1,0
501,595,160,AA,DFW,5,0
2435,815,235,AA,ORD,7,0
1007,1015,320,AA,MIA,7,0
1695,495,155,AA,DFW,3,0
501,595,160,AA,DFW,5,0
501,595,160,AA,DFW,2,1
1123,435,165,AA,DFW,5,1
1607,900,155,AA,DFW,2,1
2435,815,235,AA,ORD,6,1
1147,1015,155,AA,DFW,7,1
1955,1325,150,AA,DFW,5,1
501,595,160,AA,DFW,3,1
1279,790,160,AA,DFW,3,1
501,595,160,AA,DFW,2,1
593,965,235,AA,ORD,7,1
2435,815,235,AA,ORD,4,1
309,640,230,AA,ORD,3,1
309,640,230,AA,ORD,3,1
1875,1150,160,AA,DFW,5,1
1147,1015,155,AA,DFW,5,1
1355,705,155,AA,DFW,2,1
1733,1190,235,AA,ORD,3,1
1147,1015,155,AA,DFW,3,1
1007,1015,320,AA,MIA,7,1
1805,1235,155,AA,DFW,5,1
1123,435,165,AA,DFW,4,1
2455,450,240,AA,ORD,2,1
2455,450,240,AA,ORD,6,1
1733,1190,235,AA,ORD,1,1
1123,435,165,AA,DFW,5,0
1607,900,155,AA,DFW,4,0
1355,705,155,AA,DFW,2,0
1875,1150,160,AA,DFW,7,0
1955,1325,150,AA,DFW,1,0
1279,790,160,AA,DFW,3,0
501,595,160,AA,DFW,3,0
1875,1150,160,AA,DFW,6,0
309,640,230,AA,ORD,6,0
2455,450,240,AA,ORD,1,0
1695,495,155,AA,DFW,4,0
1805,1235,155,AA,DFW,4,0
1955,1325,150,AA,DFW,1,0
1147,1015,155,AA,DFW,2,0
1733,1190,235,AA,ORD,7,0
2435,815,235,AA,ORD,5,0
1733,1190,235,AA,ORD,6,0
1355,705,155,AA,DFW,4,0
1805,1235,155,AA,DFW,7,0
1695,495,155,AA,DFW,2,0
1279,790,160,AA,DFW,5,0
1279,790,160,AA,DFW,2,0
1123,435,165,AA,DFW,5,0
1875,1150,160,AA,DFW,6,0
1955,1325,150,AA,DFW,4,0
1279,790,160,AA,DFW,7,0
1355,705,155,AA,DFW,7,1
1733,1190,235,AA,ORD,7,1
1279,790,160,AA,DFW,5,1
1875,1150,160,AA,DFW,4,1
593,965,235,AA,ORD,4,1
1007,1015,320,AA,MIA,7,1
1123,435,165,AA,DFW,7,1
1607,900,155,AA,DFW,4,1
1355,705,155,AA,DFW,7,1
1147,1015,155,AA,DFW,7,1
1007,1015,320,AA,MIA,5,1
1805,1235,155,AA,DFW,7,1
1355,705,155,AA,DFW,4,1
501,595,160,AA,DFW,1,1
2455,450,240,AA,ORD,7,1
1955,1325,150,AA,DFW,2,1
501,595,160,AA,DFW,4,1
309,640,230,AA,ORD,3,1
1733,1190,235,AA,ORD,1,1
2455,450,240,AA,ORD,7,0
1279,790,160,AA,DFW,7,0
309,640,230,AA,ORD,7,0
1123,435,165,AA,DFW,7,0
1955,1325,150,AA,DFW,7,0
1805,1235,155,AA,DFW,5,0
1279,790,160,AA,DFW,1,0
1147,1015,155,AA,DFW,6,0
1607,900,155,AA,DFW,4,0
1279,790,160,AA,DFW,6,0
1123,435,165,AA,DFW,4,0
2455,450,240,AA,ORD,4,0
1695,495,155,AA,DFW,5,0
1147,1015,155,AA,DFW,1,0
501,595,160,AA,DFW,5,0
1875,1150,160,AA,DFW,4,0
1147,1015,155,AA,DFW,4,0
1955,1325,150,AA,DFW,6,0
1007,1015,320,AA,MIA,4,1
309,640,230,AA,ORD,6,1
1147,1015,155,AA,DFW,4,1
2435,815,235,AA,ORD,4,1
1007,1015,320,AA,MIA,4,1
1733,1190,235,AA,ORD,3,1
2455,450,240,AA,ORD,5,1
1355,705,155,AA,DFW,5,1
309,640,230,AA,ORD,5,1
1007,1015,320,AA,MIA,6,1
501,595,160,AA,DFW,5,1
1007,1015,320,AA,MIA,3,1
1875,1150,160,AA,DFW,4,1
1147,1015,155,AA,DFW,3,1
1805,1235,155,AA,DFW,3,1
1147,1015,155,AA,DFW,3,1
1007,1015,320,AA,MIA,4,1
1805,1235,155,AA,DFW,3,1
2455,450,240,AA,ORD,3,1
501,595,160,AA,DFW,2,1
2455,450,240,AA,ORD,7,1
1279,790,160,AA,DFW,2,0
1695,495,155,AA,DFW,1,0
593,965,235,AA,ORD,5,0
1355,705,155,AA,DFW,4,0
1007,1015,320,AA,MIA,7,0
2455,450,240,AA,ORD,7,0
2455,450,240,AA,ORD,5,0
1695,495,155,AA,DFW,5,0
2455,450,240,AA,ORD,1,0
309,640,230,AA,ORD,7,0
1875,1150,160,AA,DFW,1,0
1355,705,155,AA,DFW,2,0
309,640,230,AA,ORD,4,0
1147,1015,155,AA,DFW,2,0
1805,1235,155,AA,DFW,1,0
2435,815,235,AA,ORD,1,0
1695,495,155,AA,DFW,6,0
593,965,235,AA,ORD,1,0
1805,1235,155,AA,DFW,4,0
2435,815,235,AA,ORD,7,0
501,595,160,AA,DFW,5,0
1279,790,160,AA,DFW,4,0
1733,1190,235,AA,ORD,3,0
1279,790,160,AA,DFW,3,0
593,965,235,AA,ORD,7,0
2435,815,235,AA,ORD,4,0
1875,1150,160,AA,DFW,2,0
2435,815,235,AA,ORD,4,0
1875,1150,160,AA,DFW,3,1
2435,815,235,AA,ORD,7,1
2435,815,235,AA,ORD,5,1
1147,1015,155,AA,DFW,3,1
2455,450,240,AA,ORD,1,1
1875,1150,160,AA,DFW,6,1
309,640,230,AA,ORD,2,1
1805,1235,155,AA,DFW,5,1
2455,450,240,AA,ORD,3,1
1007,1015,320,AA,MIA,5,1
1147,1015,155,AA,DFW,3,1
1355,705,155,AA,DFW,4,1
1355,705,155,AA,DFW,7,1
1805,1235,155,AA,DFW,6,1
1805,1235,155,AA,DFW,1,1
1607,900,155,AA,DFW,1,1
1279,790,160,AA,DFW,5,1
1355,705,155,AA,DFW,3,1
1955,1325,150,AA,DFW,5,1
593,965,235,AA,ORD,5,1
1147,1015,155,AA,DFW,5,1
2435,815,235,AA,ORD,6,1
1875,1150,160,AA,DFW,3,1
2435,815,235,AA,ORD,3,1
1733,1190,235,AA,ORD,2,1
1695,495,155,AA,DFW,3,0
593,965,235,AA,ORD,1,0
593,965,235,AA,ORD,3,0
1147,1015,155,AA,DFW,4,0
593,965,235,AA,ORD,5,0
1805,1235,155,AA,DFW,7,0
1123,435,165,AA,DFW,4,0
1875,1150,160,AA,DFW,3,0
1805,1235,155,AA,DFW,6,0
1123,435,165,AA,DFW,2,0
593,965,235,AA,ORD,4,0
309,640,230,AA,ORD,1,0
1279,790,160,AA,DFW,3,0
2435,815,235,AA,ORD,2,0
1695,495,155,AA,DFW,6,0
1007,1015,320,AA,MIA,1,0
1355,705,155,AA,DFW,1,0
1279,790,160,AA,DFW,1,0
1695,495,155,AA,DFW,5,0
309,640,230,AA,ORD,5,1
309,640,230,AA,ORD,1,1
2455,450,240,AA,ORD,3,1
2455,450,240,AA,ORD,2,1
1607,900,155,AA,DFW,7,1
1733,1190,235,AA,ORD,2,1
1695,495,155,AA,DFW,5,1
2455,450,240,AA,ORD,6,1
1007,1015,320,AA,MIA,3,1
1875,1150,160,AA,DFW,2,1
1733,1190,235,AA,ORD,2,1
1355,705,155,AA,DFW,6,1
1007,1015,320,AA,MIA,5,1
593,965,235,AA,ORD,6,1
1733,1190,235,AA,ORD,6,1
1355,705,155,AA,DFW,1,1
2435,815,235,AA,ORD,1,1
1279,790,160,AA,DFW,5,1
1733,1190,235,AA,ORD,5,1
1875,1150,160,AA,DFW,4,1
1147,1015,155,AA,DFW,1,0
309,640,230,AA,ORD,5,0
1955,1325,150,AA,DFW,4,0
1955,1325,150,AA,DFW,6,0
309,640,230,AA,ORD,7,0
1007,1015,320,AA,MIA,1,0
1279,790,160,AA,DFW,6,0
1875,1150,160,AA,DFW,7,0
1695,495,155,AA,DFW,7,0
1123,435,165,AA,DFW,1,0
1147,1015,155,AA,DFW,2,0
1355,705,155,AA,DFW,7,0
309,640,230,AA,ORD,4,0
501,595,160,AA,DFW,7,0
1355,705,155,AA,DFW,4,0
1695,495,155,AA,DFW,3,0
1123,435,165,AA,DFW,3,0
1955,1325,150,AA,DFW,5,0
1695,495,155,AA,DFW,6,0
1607,900,155,AA,DFW,3,0
501,595,160,AA,DFW,3,0
1279,790,160,AA,DFW,4,1
1733,1190,235,AA,ORD,3,1
309,640,230,AA,ORD,5,1
1875,1150,160,AA,DFW,4,1
1695,495,155,AA,DFW,1,1
1279,790,160,AA,DFW,1,1
1805,1235,155,AA,DFW,4,1
593,965,235,AA,ORD,4,1
2435,815,235,AA,ORD,5,1
593,965,235,AA,ORD,1,1
2435,815,235,AA,ORD,5,1
593,965,235,AA,ORD,4,1
309,640,230,AA,ORD,2,1
1007,1015,320,AA,MIA,3,1
1805,1235,155,AA,DFW,1,1
1733,1190,235,AA,ORD,4,1
1733,1190,235,AA,ORD,4,1
1607,900,155,AA,DFW,3,1
1007,1015,320,AA,MIA,3,1
1147,1015,155,AA,DFW,4,1
1007,1015,320,AA,MIA,2,1
1355,705,155,AA,DFW,3,1
1355,705,155,AA,DFW,2,1
1733,1190,235,AA,ORD,3,1
1733,1190,235,AA,ORD,4,1
1147,1015,155,AA,DFW,4,1
2435,815,235,AA,ORD,3,1
1955,1325,150,AA,DFW,4,1
1955,1325,150,AA,DFW,6,0
1279,790,160,AA,DFW,2,0
593,965,235,AA,ORD,2,0
1279,790,160,AA,DFW,2,0
1147,1015,155,AA,DFW,6,0
1805,1235,155,AA,DFW,2,0
1123,435,165,AA,DFW,5,0
1123,435,165,AA,DFW,7,0
1355,705,155,AA,DFW,1,0
1695,495,155,AA,DFW,3,0
1695,495,155,AA,DFW,3,0
1875,1150,160,AA,DFW,5,0
1607,900,155,AA,DFW,4,0
2435,815,235,AA,ORD,6,0
1805,1235,155,AA,DFW,3,0
1007,1015,320,AA,MIA,6,0
1123,435,165,AA,DFW,2,0
1733,1190,235,AA,ORD,5,0
1147,1015,155,AA,DFW,2,0
1607,900,155,AA,DFW,5,0
1355,705,155,AA,DFW,5,0
1695,495,155,AA,DFW,1,0
1007,1015,320,AA,MIA,4,0
1355,705,155,AA,DFW,6,0
1805,1235,155,AA,DFW,1,0
1955,1325,150,AA,DFW,3,0
501,595,160,AA,DFW,4,1
1955,1325,150,AA,DFW,2,1
501,595,160,AA,DFW,1,1
1607,900,155,AA,DFW,5,1
1607,900,155,AA,DFW,5,1
1147,1015,155,AA,DFW,5,1
1875,1150,160,AA,DFW,3,1
1695,495,155,AA,DFW,2,1
1007,1015,320,AA,MIA,1,1
593,965,235,AA,ORD,3,1
1733,1190,235,AA,ORD,7,1
1805,1235,155,AA,DFW,5,1
2455,450,240,AA,ORD,6,1
1147,1015,155,AA,DFW,6,1
1607,900,155,AA,DFW,3,1
309,640,230,AA,ORD,6,1
309,640,230,AA,ORD,4,1
1123,435,165,AA,DFW,2,1
593,965,235,AA,ORD,2,1
1607,900,155,AA,DFW,3,1
501,595,160,AA,DFW,3,1
1355,705,155,AA,DFW,5,1
1875,1150,160,AA,DFW,7,1
501,595,160,AA,DFW,6,0
309,640,230,AA,ORD,3,0
2455,450,240,AA,ORD,3,0
1123,435,165,AA,DFW,3,0
501,595,160,AA,DFW,1,0
1607,900,155,AA,DFW,1,0
1147,1015,155,AA,DFW,1,0
1955,1325,150,AA,DFW,6,0
1805,1235,155,AA,DFW,2,0
1007,1015,320,AA,MIA,2,0
593,965,235,AA,ORD,3,0
1875,1150,160,AA,DFW,3,0
2455,450,240,AA,ORD,4,0
2455,450,240,AA,ORD,4,0
593,965,235,AA,ORD,1,0
1147,1015,155,AA,DFW,5,0
1805,1235,155,AA,DFW,2,0
1607,900,155,AA,DFW,7,0
1279,790,160,AA,DFW,3,0
1123,435,165,AA,DFW,3,0
501,595,160,AA,DFW,6,0
1607,900,155,AA,DFW,7,0
1123,435,165,AA,DFW,4,0
1955,1325,150,AA,DFW,1,0
1147,1015,155,AA,DFW,7,0
1123,435,165,AA,DFW,6,0
1123,435,165,AA,DFW,2,0
1123,435,165,AA,DFW,6,0
2455,450,240,AA,ORD,4,0
1695,495,155,AA,DFW,5,0
593,965,235,AA,ORD,7,0
1607,900,155,AA,DFW,5,0
1279,790,160,AA,DFW,7,0
1733,1190,235,AA,ORD,1,0
2455,450,240,AA,ORD,5,0
1955,1325,150,AA,DFW,7,0
593,965,235,AA,ORD,7,0
593,965,235,AA,ORD,4,0
1875,1150,160,AA,DFW,1,0
1355,705,155,AA,DFW,5,1
1007,1015,320,AA,MIA,5,1
1805,1235,155,AA,DFW,2,1
1733,1190,235,AA,ORD,5,1
2455,450,240,AA,ORD,2,1
2435,815,235,AA,ORD,2,1
1279,790,160,AA,DFW,7,1
309,640,230,AA,ORD,2,1
1607,900,155,AA,DFW,4,1
1733,1190,235,AA,ORD,5,1
1607,900,155,AA,DFW,2,1
309,640,230,AA,ORD,6,1
309,640,230,AA,ORD,2,1
593,965,235,AA,ORD,3,1
1147,1015,155,AA,DFW,5,1
2435,815,235,AA,ORD,3,1
1733,1190,235,AA,ORD,6,1
2435,815,235,AA,ORD,3,0
1955,1325,150,AA,DFW,3,0
309,640,230,AA,ORD,5,0
1695,495,155,AA,DFW,7,0
1733,1190,235,AA,ORD,7,0
1007,1015,320,AA,MIA,2,0
1279,790,160,AA,DFW,6,0
1955,1325,150,AA,DFW,3,0
593,965,235,AA,ORD,2,0
1007,1015,320,AA,MIA,2,0
1875,1150,160,AA,DFW,6,0
593,965,235,AA,ORD,6,0
1733,1190,235,AA,ORD,2,0
2455,450,240,AA,ORD,5,0
1955,1325,150,AA,DFW,1,0
1607,900,155,AA,DFW,3,0
1123,435,165,AA,DFW,6,0
1007,1015,320,AA,MIA,5,0
1875,1150,160,AA,DFW,7,0
1123,435,165,AA,DFW,1,0
2455,450,240,AA,ORD,6,0
1279,790,160,AA,DFW,4,0
1955,1325,150,AA,DFW,3,0
1123,435,165,AA,DFW,1,0
1805,1235,155,AA,DFW,6,0
1123,435,165,AA,DFW,7,0
1805,1235,155,AA,DFW,3,0
1695,495,155,AA,DFW,2,0
309,640,230,AA,ORD,1,0
1355,705,155,AA,DFW,6,0
1607,900,155,AA,DFW,7,1
593,965,235,AA,ORD,5,1
501,595,160,AA,DFW,7,1
1733,1190,235,AA,ORD,4,1
501,595,160,AA,DFW,6,1
501,595,160,AA,DFW,7,1
2435,815,235,AA,ORD,1,1
1147,1015,155,AA,DFW,6,1
501,595,160,AA,DFW,4,1
593,965,235,AA,ORD,6,1
1007,1015,320,AA,MIA,1,1
2435,815,235,AA,ORD,1,1
309,640,230,AA,ORD,7,1
2455,450,240,AA,ORD,4,1
2455,450,240,AA,ORD,1,1
1955,1325,150,AA,DFW,5,1
2455,450,240,AA,ORD,5,1
309,640,230,AA,ORD,3,1
1147,1015,155,AA,DFW,7,1
1007,1015,320,AA,MIA,3,1
1875,1150,160,AA,DFW,5,1
1805,1235,155,AA,DFW,3,1
2435,815,235,AA,ORD,7,1
